sq_candidato,link,tse_uf,tse_nome_urna,tse_n_urna,tse_cargo,tse_partido,resultado,numero_votos
130001613022,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613022,MG,FLÁVIA GONTIJO,77122,DEPUTADO ESTADUAL,SOLIDARIEDADE,SUPLENTE,1125
130001607389,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607389,MG,RODRIGO LEITE,13555,DEPUTADO ESTADUAL,PT,SUPLENTE,7866
130001607373,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607373,MG,GISELE DA SAÚDE,13192,DEPUTADO ESTADUAL,PT,SUPLENTE,1316
130001615069,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615069,MG,BRUNO MAROTA,21212,DEPUTADO ESTADUAL,PCB,NÃO ELEITO,1979
130001607270,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607270,MG,DANDARA,1334,DEPUTADO FEDERAL,PT,ELEITO POR QP,86034
120001598297,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001598297,MS,FRANKLIN,5050,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,4045
120001652326,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001652326,MS,GLAUBER PORTMAN,65024,DEPUTADO ESTADUAL,PC DO B,SUPLENTE,602
120001606660,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606660,MS,JEAN FERREIRA,12067,DEPUTADO ESTADUAL,PDT,SUPLENTE,3643
120001613607,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001613607,MS,KARLA MELO COLETIVO SOMOS,45345,DEPUTADO ESTADUAL,PSDB,SUPLENTE,628
120001606667,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606667,MS,BRUNA RIQUELME COLETIVO,12222,DEPUTADO ESTADUAL,PDT,SUPLENTE,366
120001606665,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MS/120001606665,MS,LUARA DO AXÉ,12180,DEPUTADO ESTADUAL,PDT,SUPLENTE,273
110001608772,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001608772,MT,JULIAN TACANÃ,5005,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,759
110001655601,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001655601,MT,VALKIRIA BRANDÃO,23555,DEPUTADO ESTADUAL,CIDADANIA,SUPLENTE,428
110001719788,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001719788,MT,PROFA GRACIELE,13613,DEPUTADO ESTADUAL,PT,SUPLENTE,7580
110001724934,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001724934,MT,THIAGUINHO,4040,DEPUTADO FEDERAL,PSB,NÃO ELEITO,1564
140001651017,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001651017,PA,BÁRBARA PASTANA,50024,DEPUTADO ESTADUAL,PSOL,SUPLENTE,992
140001676602,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676602,PA,BIA CAMINHA,13613,DEPUTADO ESTADUAL,PT,SUPLENTE,16232
140001621063,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001621063,PA,ENDELL MENEZES,12001,DEPUTADO ESTADUAL,PDT,SUPLENTE,2403
140001676615,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676615,PA,JADE LEÃO,13310,DEPUTADO ESTADUAL,PT,SUPLENTE,6551
140001651020,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001651020,PA,MADALENA DANI TODAS AS VOZES,50777,DEPUTADO ESTADUAL,PSOL,SUPLENTE,1682
140001650331,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001650331,PA,VIVI REIS,5000,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,53353
140001620898,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001620898,PA,PROFESSOR EDSON JUNIOR,1369,DEPUTADO FEDERAL,PT,SUPLENTE,3105
140001676892,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676892,PA,DIVERSIDADE E INCLUSÃO IRNA,15016,DEPUTADO ESTADUAL,MDB,SUPLENTE,1865
150001621663,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621663,PB,ALEXANDRE KENNEDY,40555,DEPUTADO ESTADUAL,PSB,SUPLENTE,873
150001619530,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001619530,PB,ESTELA BEZERRA,1313,DEPUTADO FEDERAL,PT,SUPLENTE,44788
150001621573,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621573,PB,"JOSI ""É NOIS A MUDANÇA""",50055,DEPUTADO ESTADUAL,PSOL,SUPLENTE,1285
150001643183,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001643183,PB,PROFESSORA ANA CÉLIA,13111,DEPUTADO ESTADUAL,PT,SUPLENTE,1684
150001621383,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621383,PB,NICOLE D'LAMARCK,45321,DEPUTADO ESTADUAL,PSDB,SUPLENTE,360
